Band_Index,Combined_Importance,Undefined_Importance,Water_Importance,Non-Water_Importance,Raw_SHAP_Undefined,Raw_SHAP_Water,Raw_SHAP_Non-Water,Is_Selected,Rank
59,0.03125424689795563,0.007256689524174531,0.0505367668424407,0.014497785624394893,0.00012029269638610825,0.0002571701581322795,4.526662335456238e-05,1,37
27,0.02937050470888528,0.029706524809057333,0.05024405916885684,0.008461579712053505,-0.00021215093932814677,0.00034108240719730803,4.9851768235492766e-05,1,38
35,0.029170118591228936,0.02996653952638823,0.05612438730391152,0.002132016095898009,-0.0001063169643245589,0.0002607093029792031,-2.774839216818513e-06,1,39
31,0.028801350565407873,0.01604414762072711,0.048054927957103706,0.010890636641573184,-6.673043612218339e-05,0.00022684475762553113,5.120721399375465e-05,1,40
73,0.027812728758197743,0.02759389728657594,0.009638242596755622,0.04601024981138953,-2.045982274448379e-05,0.00010938447788783511,0.0002624574422935113,1,41
62,0.02538191956630252,0.018219497184090522,0.03298226214187788,0.018535516188854743,3.2909729530536234e-05,6.065920074050542e-05,-0.0001138903432721663,1,42
74,0.024603700329551406,0.013577541984309225,0.0053455727607441,0.045022476145226316,-5.3837522688560145e-05,1.1025664242190567e-05,0.00021692984147074487,1,43
29,0.02371065034755672,0.02046140585664034,0.030441552029208438,0.017321774401790935,-0.00010481825390869542,0.00014804065559602628,6.813776630042874e-05,1,44
13,0.023224817633590224,0.012858379800003584,0.017952488812873132,0.029588350436790117,-3.1510366877294164e-05,-0.0001404972260147321,0.00019752323005350173,1,45
37,0.0225630627095809,0.01800795145415476,0.032350513176773274,0.013255097637696538,-7.811170929003245e-05,0.00011458893667376444,2.6639838447434393e-05,1,46
65,0.02146667580354801,0.012273755532532097,0.03828257593551017,0.005618451489587523,-0.00010443564068014335,0.00015097668863410052,5.304595623317493e-05,1,47
70,0.021269636677123283,0.012881764219978149,0.00924871860944278,0.034173488687661166,-6.160620347272191e-05,1.6983136208683682e-05,5.8457768031939634e-05,1,48
58,0.02083905818407449,0.0326742456803389,0.02674911785168954,0.013683189306326348,8.974988259211579e-07,4.5352139421246746e-05,-9.958157852891589e-05,1,49
28,0.02083770137568181,0.01825385354996908,0.03638352524691219,0.005563861486105401,-7.160588405789714e-05,0.00018392139664155752,-1.4005075712875169e-05,1,50
